Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-6133,2959,"0x0B8F",1,-6133.171,0.171,-6132.422,-0.578
-6132,2960,"0x0B90",1,-6131.999,-0.001,-6131.250,-0.750
-6131,2961,"0x0B91",1,-6130.827,-0.173,-6130.078,-0.922
-6130,2962,"0x0B92",1,-6129.654,-0.346,-6128.906,-1.094
-6129,2962,"0x0B92",0,-6129.654,0.654,-6128.906,-0.094
-6128,2963,"0x0B93",1,-6128.482,0.482,-6127.734,-0.266
-6127,2964,"0x0B94",1,-6127.310,0.310,-6126.563,-0.438
-6126,2965,"0x0B95",1,-6126.138,0.138,-6125.391,-0.609
-6125,2966,"0x0B96",1,-6124.966,-0.034,-6124.219,-0.781
-6124,2967,"0x0B97",1,-6123.794,-0.206,-6123.047,-0.953
-6123,2968,"0x0B98",1,-6122.622,-0.378,-6121.875,-1.125
-6122,2968,"0x0B98",0,-6122.622,0.622,-6121.875,-0.125
-6121,2969,"0x0B99",1,-6121.450,0.450,-6120.703,-0.297
-6120,2970,"0x0B9A",1,-6120.278,0.278,-6119.531,-0.469
-6119,2971,"0x0B9B",1,-6119.106,0.106,-6118.359,-0.641
-6118,2972,"0x0B9C",1,-6117.934,-0.066,-6117.188,-0.813
-6117,2973,"0x0B9D",1,-6116.762,-0.238,-6116.016,-0.984
-6116,2974,"0x0B9E",1,-6115.590,-0.410,-6114.844,-1.156
-6115,2974,"0x0B9E",0,-6115.590,0.590,-6114.844,-0.156
-6114,2975,"0x0B9F",1,-6114.418,0.418,-6113.672,-0.328
-6113,2976,"0x0BA0",1,-6113.246,0.246,-6112.500,-0.500
-6112,2977,"0x0BA1",1,-6112.074,0.074,-6111.328,-0.672
-6111,2978,"0x0BA2",1,-6110.902,-0.098,-6110.156,-0.844
-6110,2979,"0x0BA3",1,-6109.730,-0.270,-6108.984,-1.016
-6109,2979,"0x0BA3",0,-6109.730,0.730,-6108.984,-0.016
-6108,2980,"0x0BA4",1,-6108.558,0.558,-6107.813,-0.188
-6107,2981,"0x0BA5",1,-6107.386,0.386,-6106.641,-0.359
-6106,2982,"0x0BA6",1,-6106.214,0.214,-6105.469,-0.531
-6105,2983,"0x0BA7",1,-6105.042,0.042,-6104.297,-0.703
-6104,2984,"0x0BA8",1,-6103.870,-0.130,-6103.125,-0.875
-6103,2985,"0x0BA9",1,-6102.698,-0.302,-6101.953,-1.047
-6102,2985,"0x0BA9",0,-6102.698,0.698,-6101.953,-0.047
-6101,2986,"0x0BAA",1,-6101.526,0.526,-6100.781,-0.219
-6100,2987,"0x0BAB",1,-6100.354,0.354,-6099.609,-0.391
-6099,2988,"0x0BAC",1,-6099.182,0.182,-6098.438,-0.563
-6098,2989,"0x0BAD",1,-6098.010,0.010,-6097.266,-0.734
-6097,2990,"0x0BAE",1,-6096.838,-0.162,-6096.094,-0.906
-6096,2991,"0x0BAF",1,-6095.666,-0.334,-6094.922,-1.078
-6095,2991,"0x0BAF",0,-6095.666,0.666,-6094.922,-0.078
-6094,2992,"0x0BB0",1,-6094.494,0.494,-6093.750,-0.250
-6093,2993,"0x0BB1",1,-6093.322,0.322,-6092.578,-0.422
-6092,2994,"0x0BB2",1,-6092.150,0.150,-6091.406,-0.594
-6091,2995,"0x0BB3",1,-6090.978,-0.022,-6090.234,-0.766
-6090,2996,"0x0BB4",1,-6089.806,-0.194,-6089.063,-0.938
-6089,2997,"0x0BB5",1,-6088.634,-0.366,-6087.891,-1.109
-6088,2997,"0x0BB5",0,-6088.634,0.634,-6087.891,-0.109
-6087,2998,"0x0BB6",1,-6087.462,0.462,-6086.719,-0.281
-6086,2999,"0x0BB7",1,-6086.290,0.290,-6085.547,-0.453
-6085,3000,"0x0BB8",1,-6085.118,0.118,-6084.375,-0.625
-6084,3001,"0x0BB9",1,-6083.946,-0.054,-6083.203,-0.797
-6083,3002,"0x0BBA",1,-6082.774,-0.226,-6082.031,-0.969
-6082,3003,"0x0BBB",1,-6081.602,-0.398,-6080.859,-1.141
